participant_id,survey_text
P001,"I think the biggest issue in our workplace is communication. Teams work in silos and nobody knows what anyone else is doing. We need better cross-team meetings or at least a shared project board."
P002,"The office is fine but I'd really like more flexibility to work from home. Two days a week would make a huge difference for my commute and I'd honestly be more productive."
P003,"Career progression here feels opaque. I've been in the same role for three years and have no idea what I need to do to get promoted. A clear framework would help."
P004,"We need better mental health support. The EAP is barely advertised and nobody uses it. Regular wellbeing check-ins with managers would be a good start."
P005,"The open plan office is too noisy for focused work. I end up wearing headphones all day which makes me feel isolated. We need quiet zones or bookable focus rooms."
P006,"I love the team culture here but the tools we use are outdated. We're still on legacy systems that crash weekly. It slows everything down and is frustrating."
P007,"Honestly I'm happy with most things but the salary review process is a black box. More transparency about how pay decisions are made would build trust."
P008,"I wish there were more opportunities for learning and development. A training budget or time set aside for courses would show the company actually invests in people."
P009,"Cross-department collaboration is almost non-existent. I've worked here two years and barely know anyone outside my immediate team. Social events or joint projects would help."
P010,"The workload is unsustainable. I regularly work evenings and weekends to keep up. We either need more headcount or to be realistic about what we can deliver."
P011,"Management communicates decisions top-down without explaining the reasoning. People would be more on board if they understood the why behind changes, not just the what."
P012,"Remote working has been great for productivity but terrible for team bonding. We need a better balance — maybe designated in-office collaboration days rather than forcing everyone in five days."
P013,"The onboarding process for new starters is chaotic. I had no proper introduction, no buddy, and spent my first month figuring things out alone. We're losing good people early."
P014,"I'd like to see more diversity in leadership. Most senior roles are held by the same demographic and it sends a message about who can progress here."
P015,"The benefits package is decent but the pension contribution is below industry average. For a company our size, we should be doing better on that front."
P016,"Internal communication is fragmented — some teams use Slack, others use email, some use Teams. Pick one system and stick with it so information doesn't get lost."
P017,"I enjoy my work but there's no recognition culture. A simple thank you or acknowledgement from leadership when a project goes well would mean a lot."
P018,"The company talks about innovation but punishes failure. If we want people to take risks and try new approaches, we need to accept that not everything will work."
P019,"Meetings are a productivity killer. Half of them could be emails. We need a culture shift around meeting discipline — agendas, time limits, and fewer attendees."
P020,"Work-life balance is good on paper but in practice there's an expectation to always be available. Managers need to model healthy boundaries, not just preach them."
P021,"The office location is great but parking is a nightmare and public transport links are poor. A shuttle service or subsidised parking would help people who don't live nearby."
P022,"I think the company's environmental commitments are mostly performative. If we're serious about sustainability, it needs to be embedded in business decisions, not just in a report."
P023,"There's too much bureaucracy for simple things. Getting approval for basic purchases takes weeks of sign-offs. Empowering teams to make small decisions would speed things up hugely."
P024,"I appreciate the flexible hours policy but it only really works for people without client-facing roles. We need to think about how flexibility works for different job types."
P025,"The IT support team is overwhelmed and response times are terrible. When your laptop breaks you can be without a working machine for days. That's not acceptable."
